#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.486741 0.145629 0.006200 -4.486814 0.143499 0.006139 -4.486814 0.143499 0.006139 0.000000 0.000000 0.000000 -4.435987 0.269335 0.055687 -4.486741 0.145629 0.006200 0.000000 0.000000 0.000000 -4.485472 0.133592 0.007444 -4.485556 0.131474 0.007376 -4.485556 0.131474 0.007353 0.000000 0.000000 0.000000 -4.418526 0.252624 0.071491 -4.485472 0.133592 0.007420 0.000000 0.000000 0.000000
9.300000 -4.409581 0.273080 0.075626 -4.412424 0.272995 0.074005 -4.412424 0.272995 0.073030 0.000000 0.000000 0.000000 -4.180429 0.285662 0.151935 -4.409581 0.273080 0.074442 0.000000 0.000000 0.000000 -4.387826 0.252640 0.088051 -4.390598 0.251945 0.086663 -4.390598 0.251945 0.080027 0.000000 0.000000 0.000000 -4.151220 0.249391 0.142533 -4.387826 0.252640 0.081223 0.000000 0.000000 0.000000
9.500000 -4.087452 0.259204 0.144844 -4.096136 0.258605 0.144704 -4.096136 0.258605 0.135676 0.000000 0.000000 0.000000 -3.795494 0.248638 0.146945 -4.087452 0.259204 0.135962 0.000000 0.000000 0.000000 -4.058470 0.223467 0.129526 -4.066954 0.223704 0.128366 -4.066954 0.223704 0.116800 0.000000 0.000000 0.000000 -3.764029 0.216682 0.119628 -4.058470 0.223467 0.117314 0.000000 0.000000 0.000000
9.700000 -3.659962 0.234018 0.129566 -3.670928 0.234330 0.129289 -3.670928 0.234330 0.129289 0.000000 0.000000 0.000000 -3.446332 0.229341 0.134679 -3.659962 0.234018 0.129566 0.000000 0.000000 0.000000 -3.633051 0.201850 0.097971 -3.643661 0.203111 0.097889 -3.643661 0.203111 0.097507 0.000000 0.000000 0.000000 -3.415788 0.194099 0.113654 -3.633051 0.201849 0.097971 0.000000 0.000000 0.000000
9.900000 -3.344457 0.218443 0.117441 -3.355477 0.218777 0.116760 -3.355477 0.218777 0.115052 0.000000 0.000000 0.000000 -3.199438 0.200728 0.108465 -3.344458 0.218444 0.115402 0.000000 0.000000 0.000000 -3.315734 0.177380 0.093010 -3.326321 0.178412 0.092830 -3.326321 0.178412 0.092830 0.000000 0.000000 0.000000 -3.167781 0.187709 0.097559 -3.315734 0.177380 0.093010 0.000000 0.000000 0.000000
10.100000 -3.158599 0.187027 0.096647 -3.177658 0.192111 0.098495 -3.177658 0.192111 0.098496 0.000000 0.000000 0.000000 -2.985307 0.172374 0.094488 -3.158599 0.187026 0.096648 0.000000 0.000000 0.000000 -3.131138 0.164196 0.087101 -3.148369 0.164684 0.089666 -3.148369 0.164684 0.089666 0.000000 0.000000 0.000000 -2.956910 0.160670 0.085857 -3.131138 0.163973 0.087103 0.000000 0.000000 0.000000
10.300000 -3.021382 0.156577 0.087011 -3.043872 0.156885 0.086936 -3.043872 0.156885 0.086936 0.000000 0.000000 0.000000 -2.877159 0.141805 0.085713 -3.021382 0.156577 0.087011 0.000000 0.000000 0.000000 -2.993946 0.145289 0.077899 -3.014285 0.144122 0.077990 -3.014285 0.144122 0.077990 0.000000 0.000000 0.000000 -2.847458 0.136876 0.092317 -2.993946 0.145289 0.077904 0.000000 0.000000 0.000000
10.500000 -2.897889 0.129415 0.077177 -2.915243 0.130641 0.076308 -2.915243 0.130641 0.076134 0.000000 0.000000 0.000000 -2.769363 0.120939 0.082378 -2.897889 0.129415 0.075007 0.000000 0.000000 0.000000 -2.870927 0.116816 0.072581 -2.886379 0.117012 0.072261 -2.886379 0.117012 0.072261 0.000000 0.000000 0.000000 -2.744344 0.116519 0.083977 -2.870927 0.116816 0.072581 0.000000 0.000000 0.000000
10.700000 -2.767535 0.111097 0.070558 -2.780622 0.113202 0.072633 -2.780622 0.113202 0.066781 0.000000 0.000000 0.000000 -2.653015 0.098025 0.061024 -2.767535 0.111097 0.069151 0.000000 0.000000 0.000000 -2.739979 0.094609 0.065900 -2.751176 0.093654 0.067625 -2.751176 0.093800 0.062330 0.000000 0.000000 0.000000 -2.627584 0.087134 0.078582 -2.739979 0.094609 0.063588 0.000000 0.000000 0.000000
10.900000 -2.630041 0.089337 0.059183 -2.639127 0.089772 0.060487 -2.639127 0.089772 0.056366 0.000000 0.000000 0.000000 -2.537899 0.081463 0.056586 -2.630041 0.089337 0.056191 0.000000 0.000000 2.503082 -2.606854 0.071714 0.057965 -2.615524 0.071754 0.059450 -2.615524 0.072641 0.059450 0.000000 0.000000 0.000000 -2.513525 0.071270 0.060926 -2.606854 0.072777 0.057965 0.000000 0.000000 2.493178
